,Companies,Incarceration,State-Owned Real Estate,Checkbook,Address Points,Legislative Data,Restaurant Inspections,Population Projections,Vehicle Crashes
Alabama,,,,http://open.alabama.gov/spending_checkbook.aspx,,,,,
Alaska,,,,http://doa.alaska.gov/dof/reports/ckbkonline.html,,,,,
Arizona,http://www.azcc.gov/Divisions/Corporations/faq.asp#computer5,https://corrections.az.gov/reports-documents/statistics,no,http://www.azcheckbook.com/,no,no,no,https://population.az.gov/,http://azdot.gov/mvd/Statistics/arizona-motor-vehicle-crash-facts
Arkansas,https://www.commerce.state.ak.us/CBP/Main/,,,http://transparency.arkansas.gov/Pages/default.aspx,http://gis.arkansas.gov/?product=situs-address-points,,,,
California,http://kepler.sos.ca.gov/,http://www.cdcr.ca.gov/Reports_Research/Offender_Information_Services_Branch/Offender_Information_Reports.html,http://www.spi.dgs.ca.gov/wscripts/spi.asp?action=Main,no,no,no,http://www.ca.gov/OnlineServices/OS_Consumers_inspections.html,http://www.dof.ca.gov/research/demographic/reports/projections/,http://www.ots.ca.gov/Media_and_Research/Data_and_Statistics.asp
Colorado,,,,https://www.colorado.gov/apps/oit/transparency/index.html,,,,,
Connecticut,,,,,,,,,
Delaware,,,,http://checkbook.delaware.gov/,,,,,
District of Columbia,,,,,https://github.com/openaddresses/openaddresses/blob/master/sources/us-dc.json,,,,
Florida,http://www.sunbiz.org/,http://www.dc.state.fl.us/pub/,http://www.dms.myflorida.com/business_operations/real_estate_development_and_management/facilities_management/florida_state_owned_lands_and_records_information_system_fl_solaris,http://flair.dbf.state.fl.us/dispub2/newvpymt4.shtml,no,no,http://www.floridahealth.gov///statistics-and-data/eh-tracking-and-reporting/food-hygiene.html,http://edr.state.fl.us/Content/population-demographics/data/,http://www.flhsmv.gov/html/safety.html
Georgia,http://gta.georgia.gov/bulk-corporations-data,no,http://gspc.georgia.gov/,http://www.open.georgia.gov/psa/poSearch.aud,no,no,https://dph.georgia.gov/environmental-health-inspections,https://opb.georgia.gov/population-projections,http://www.gahighwaysafety.org/research/
Guam,,,,,,,,,
Hawaii,,,,,,,,,
Idaho,,,,,,,,,
Illinois,http://www.cyberdriveillinois.com/departments/business_services/home.html,http://www2.illinois.gov/idoc/reportsandstatistics/Pages/default.aspx,no,http://ledger.illinoiscomptroller.com/,no,no,no,https://data.illinois.gov/Economics/DCEO-County-Population-Projections/h3bx-hbbh,http://www.idot.illinois.gov/transportation-system/safety/Illinois-Roadway-Crash-Data
Indiana,http://www.in.gov/sos/business/2439.htm,,,,http://maps.indiana.edu/metadata/Infrastructure/Streets_Address_Points_IDHS.html,,,,
Iowa,,,,http://checkbook.iowa.gov/,,,,,
Kansas,,,,http://www.kansas.gov/KanView/,,,,,
Kentucky,http://www.sos.ky.gov/bus/Pages/Bulk-Data-Service.aspx,,,,,,,,
Louisiana,,,,http://doa.louisiana.gov/latrac/home.cfm,,,,,
Maine,http://www.maine.gov/sos/cec/corp/miscellaneous.html,,,http://opencheckbook.maine.gov/transparency/,https://github.com/openaddresses/openaddresses/blob/master/sources/us-me.json,,,,
Maryland,,,,,https://www.arcgis.com/home/item.html?id=20878dd2c20949a8a14a5a282ab98807,,,,
Massachusetts,,,,http://www.mass.gov/opencheckbook,,,,,
Michigan,http://www.dleg.state.mi.us/bcs_corp/sr_corp.asp,"https://www.michigan.gov/corrections/0,4551,7-119-1441---,00.html",no,http://media.state.mi.us/MiTransparency,no,no,no,"http://www.michigan.gov/cgi/0,4548,7-158-54534_51713_51716---,00.html",http://www.michigantrafficcrashfacts.org/
